row,stu num,riazi 1,fizik 1,mabani kamputer,riazi 2,fizik 2,ri gosaste,barname pishrafte,moadelat def,amar va eh,sakhteman dadeh,medar mantaghi,mabani fanavari,memari com,mabani e didit,o va m modiriat,os,tarahi alg,nazariye,os tarahi DB,eghtesad mohandesi,moadel-T4,sex
19,8513331180,13.0,8.5,18.1,12.0,9.5,10.0,13.0,10.0,12.5,12.9,11.25,15.25,15.75,15.0,15.0,14.5,13.6,10.0,18.5,15.4,14.31,m
20,8513331190,9.0,10.5,13.7,14.5,9.0,11.5,10.0,10.0,9.0,9.0,12.25,17.1,13.5,10.0,12.0,12.0,9.75,10.5,9.0,10.0,12.83,m
21,8513331200,12.25,12.5,10.0,10.0,12.5,11.5,9.0,10.0,9.5,14.0,18.5,18.0,12.0,11.0,15.0,12.25,12.0,14.25,16.5,10.0,13.63,m
22,8513331210,14.5,11.5,14.4,13.25,17.25,12.0,10.0,13.0,12.5,14.1,12.5,19.6,15.25,15.0,17.5,11.5,15.3,10.0,16.0,17.8,14.86,m
23,8513331220,13.0,9.0,14.1,14.0,11.5,13.25,16.5,13.5,12.0,12.5,8.5,19.1,16.75,17.5,15.0,16.75,19.4,13.25,19.5,19.0,15.23,m
24,8513331230,13.25,12.5,14.2,13.5,13.5,11.25,8.0,15.0,11.75,13.0,13.5,17.35,14.0,11.5,15.0,10.5,9.75,9.75,14.0,14.6,14.07,m
25,8513331250,15.25,10.5,19.0,17.25,19.75,18.0,20.0,13.0,15.0,17.6,15.6,16.0,17.0,13.0,16.0,15.5,12.0,11.75,13.0,18.5,16.43,m
26,8513331260,11.0,13.6,15.1,9.0,18.5,14.5,12.0,5.0,13.5,12.0,11.0,15.4,14.5,11.5,17.0,9.75,15.0,9.75,11.0,13.5,14.74,f
27,8513331270,11.25,12.0,16.7,10.0,14.25,9.75,8.0,12.0,12.5,9.5,13.5,14.25,15.25,16.0,15.0,13.0,15.0,10.0,12.25,10.0,13.87,m
28,8513331280,12.0,13.5,17.2,10.0,15.0,13.0,10.5,12.5,11.25,12.3,13.5,14.75,13.75,9.5,12.5,16.5,15.3,13.25,13.5,15.1,14.42,f
29,8513331290,11.0,10.5,19.0,11.5,11.0,12.25,17.5,10.0,17.0,15.6,16.5,18.1,15.75,16.5,18.0,18.5,15.3,13.75,15.0,18.5,16.17,m
30,8513331300,13.0,10.5,13.2,13.0,12.0,10.5,9.5,15.0,15.0,17.5,15.5,19.1,13.75,17.5,13.5,11.0,9.75,10.5,13.5,16.7,14.67,m
31,8513331310,13.75,14.0,19.8,14.5,14.5,11.25,15.5,11.0,14.0,17.9,13.0,17.0,15.0,10.0,12.0,15.5,13.6,17.0,16.5,14.5,14.82,m
32,8513331320,15.25,12.5,15.5,15.0,13.5,14.75,7.5,15.0,17.5,10.0,16.5,19.0,18.0,16.5,13.0,16.5,17.5,16.0,14.5,16.2,15.68,f
33,8513331330,15.5,9.5,18.2,15.25,9.0,12.0,17.5,12.0,11.25,13.2,12.5,17.0,14.75,11.0,13.0,12.5,10.5,10.5,16.5,13.2,14.05,m
34,8513331340,15.75,14.25,15.0,17.5,16.5,14.0,10.0,18.0,11.5,11.8,13.5,18.8,13.0,9.5,14.5,10.0,9.5,10.0,12.75,12.9,14.98,f
35,8513331350,14.0,12.0,11.5,16.25,10.5,12.0,10.0,14.0,11.0,8.5,12.0,16.8,14.25,9.5,12.0,15.0,16.0,12.5,14.5,10.0,11.9,m
